,msp,perplexity,confidence,entropy,Class
0,0.66980857,1.3978065,[0.41858026 0.58141977],0.3081494,human
1,1.7820234,2.4375947,[0.28004923 0.71995074],0.68333036,human
2,0.91855955,1.5829335,[0.44345012 0.55654985],0.44643325,human
3,1.7517865,2.4010189,[0.21417753 0.78582245],0.50434524,human
4,2.3492239,1.124638,"[[0.05045542 0.03304841 0.05458805 0.04404108 0.05506849 0.0463526
  0.05519687 0.04454447 0.055241   0.04671615 0.05534467 0.0453587
  0.05538069 0.04726985 0.05542288 0.04813718 0.05547757 0.04804275
  0.05545554 0.04885779]]",0.103057675,human
5,4.112214,7.8154855,[0.62391746 0.3760826 ],1.9933791,human
6,6.459231,1.3812122,"[[0.04568339 0.03124331 0.02345207 0.03029633 0.03430684 0.04159143
  0.04574591 0.04937813 0.05200253 0.05514554 0.05598903 0.05700565
  0.05743194 0.05868279 0.0594862  0.060323   0.06038882 0.06066124
  0.06055873 0.06062714]]",0.25965914,human
7,3.044278,4.5820155,[0.17891242 0.82108766],1.0328872,human
8,1.8348961,2.5028949,[0.29547668 0.7045233 ],0.73973125,human
9,3.533345,5.8513503,[0.42118484 0.5788152 ],1.7416164,human
10,2.4517095,3.4070773,[0.08046546 0.9195345 ],0.20385195,human
11,3.7756276,6.6049128,[0.38574094 0.61425906],1.8346547,human
12,1.8772773,1.0984101,"[[0.05312108 0.04133208 0.05376482 0.04386474 0.05386845 0.04665921
  0.05418681 0.04643593 0.05421752 0.04868566 0.05425433 0.04399738
  0.05435951 0.0467302  0.05439961 0.0452173  0.0543838  0.04758417
  0.05440294 0.04853442]]",0.085996196,human
13,6.359363,1.3743325,"[[0.00312245 0.01455159 0.04062895 0.04522179 0.0495349  0.05417599
  0.05555388 0.05456568 0.05469868 0.05673027 0.05624485 0.0558799
  0.0556822  0.05715678 0.05749427 0.05690017 0.05728007 0.05833022
  0.05825258 0.05799471]]",0.12956676,human
14,5.52376,15.829573,[0.39752042 0.6024796 ],2.7192683,human
15,3.960084,1.2189676,"[[0.03827225 0.01772543 0.05437365 0.03547933 0.05716944 0.0419872
  0.05749968 0.04663913 0.05794544 0.04941891 0.058206   0.04808675
  0.05832193 0.04863725 0.05845517 0.05112138 0.05862677 0.05152333
  0.05846536 0.05204558]]",0.14441946,human
16,0.8190112,1.506073,[0.32624742 0.6737526 ],0.28349903,human
17,1.468278,1.0761759,"[[0.05333601 0.04266623 0.05340217 0.0435306  0.0534666  0.04589964
  0.05345215 0.04683107 0.05350382 0.04762957 0.05348986 0.04686837
  0.05351144 0.04793207 0.05348419 0.04780305 0.05351008 0.04775605
  0.05349157 0.04843546]]",0.06781747,human
18,4.6322985,10.136566,[0.46442217 0.53557783],2.3110776,human
19,0.40147987,1.2223068,[0.40480742 0.59519255],0.1640457,human
20,4.5380135,9.669791,[0.44792804 0.552072  ],2.2581215,human
21,8.3384,1.517281,"[[0.0218007  0.05081063 0.00709281 0.03046036 0.02974607 0.04124437
  0.04445848 0.05203765 0.05389626 0.05709358 0.05765489 0.05907465
  0.05946503 0.06090154 0.0617381  0.06248268 0.062284   0.06263283
  0.06251268 0.06261256]]",0.26302215,human
22,0.98007584,1.6323782,[0.30577815 0.69422185],0.33078924,human
23,4.3502417,8.803248,[0.10977092 0.8902291 ],1.3583391,human
24,4.1879683,8.117191,[0.1692549 0.8307451],1.5677961,human
25,3.211634,4.981928,[0.42730868 0.5726913 ],1.58453,human
26,1.8867978,2.5686975,[0.13458022 0.8654198 ],0.26333287,human
27,2.5109358,3.50948,[0.46603677 0.5339632 ],1.2508469,human
28,3.710525,6.3933764,[0.6190834  0.38091657],1.7974284,human
29,2.2010624,3.0057623,[0.23504734 0.76495266],0.78787994,human
30,3.6063194,6.0687923,[0.2781217 0.7218783],1.5915327,human
31,1.3473125,1.9613955,[0.5582554  0.44174457],0.6600195,human
32,3.3049183,5.2198005,[0.34732547 0.65267456],1.5561497,human
33,5.1454344,13.101375,[0.21966906 0.78033096],2.2173707,human
34,2.330799,3.2072039,[0.10574451 0.89425546],0.32367772,human
35,3.7581182,6.547342,[0.33733687 0.66266316],1.7692314,human
36,3.0385025,4.568803,[0.47671488 0.5232851 ],1.5170808,human
37,4.0366263,7.5256195,[0.36057982 0.63942015],1.9384465,human
38,3.3552964,1.1826586,"[[0.01358699 0.03876569 0.04486931 0.04854931 0.05172204 0.05217559
  0.05150795 0.05179158 0.05351023 0.05359209 0.05213972 0.05244409
  0.05356969 0.05410995 0.05395911 0.05437225 0.05518984 0.05504762
  0.05457607 0.05452092]]",0.1128831,human
39,3.201683,4.9572024,[0.4457869 0.5542131],1.5890388,human
40,5.1611824,13.204944,[0.54928166 0.45071828],2.5708447,human
41,2.1072412,2.868016,[0.7260136  0.27398643],0.8333726,human
42,3.8370123,6.810776,[0.6374751 0.3625249],1.8409121,human
43,3.883733,6.971752,[0.11275139 0.8872486 ],1.142996,human
44,4.496891,9.472999,[0.4533783  0.54662174],2.239726,human
45,1.2824531,1.8988084,[0.6058722  0.39412785],0.5957022,human
46,2.1019232,2.8604002,[0.13123915 0.8687609 ],0.35398635,human
47,3.628806,6.137411,[0.3881623 0.6118377],1.763512,human
48,2.6167214,3.700103,[0.65986633 0.3401337 ],1.2024175,human
49,1.8100471,2.47199,[0.36143267 0.6385674 ],0.8261578,human
50,5.0461745,1.2869934,"[[0.01102646 0.02239973 0.03966869 0.04847654 0.05330271 0.05376673
  0.05266184 0.0540848  0.05643343 0.05724249 0.05027072 0.05166721
  0.05380613 0.05582687 0.05523323 0.05587623 0.05756468 0.05755932
  0.05671258 0.05641957]]",0.16018592,human
51,2.3219912,3.1931107,[0.58443785 0.41556212],1.1322007,human
52,2.7083924,3.8736463,[0.4301535 0.5698466],1.3345537,human
53,2.8951805,4.252854,[0.2673098  0.73269016],1.2129653,human
54,3.9471996,1.2181826,"[[0.01377676 0.03823256 0.04512531 0.04973448 0.05260142 0.05262652
  0.05157577 0.05234882 0.05447634 0.05430469 0.05122306 0.05167493
  0.05333484 0.05309718 0.05271526 0.05393814 0.05513784 0.05489407
  0.05453701 0.05464504]]",0.14315061,human
55,2.08362,2.8343425,[0.3917535  0.60824656],0.99418736,human
56,4.674245,10.351407,[0.6420062  0.35799378],2.2541792,human
57,1.8469214,1.0967443,"[[0.05349651 0.03377881 0.05371567 0.04565709 0.05399678 0.04474434
  0.0540196  0.04892609 0.05419425 0.04862218 0.05406779 0.04669834
  0.05414798 0.04694929 0.05415264 0.04853781 0.05419104 0.04817655
  0.05421636 0.04771092]]",0.08119068,human
58,4.5997696,9.973034,[0.66945386 0.33054617],2.1802983,human
59,3.995703,7.3731976,[0.38035938 0.6196406 ],1.9394641,human
60,2.6474736,3.7574358,[0.07052603 0.92947394],0.21627933,human
61,0.93303084,1.5944284,[0.5055797  0.49442026],0.46639088,human
62,3.003771,1.1620533,"[[0.01771223 0.03879768 0.04720481 0.05004779 0.051634   0.05196448
  0.05209312 0.05263698 0.05297851 0.05307903 0.05171081 0.05216642
  0.05274149 0.05303041 0.05316132 0.05379672 0.05408223 0.05380472
  0.053677   0.05368024]]",0.11090542,human
63,1.8974597,2.5824275,[0.2103772 0.7896228],0.5656593,human
64,4.945293,1.280518,"[[0.01078167 0.01489574 0.05362426 0.03931974 0.05803646 0.04577082
  0.05853693 0.04939288 0.05863058 0.05122739 0.05882564 0.05080965
  0.05874857 0.05136392 0.05879771 0.05405992 0.05912476 0.05454336
  0.05892952 0.05458039]]",0.12900724,human
65,3.423339,5.5381994,[0.14015085 0.8598492 ],1.0588895,human
66,4.0680165,7.644667,[0.2224522  0.77754784],1.6866758,human
67,5.337078,1.3058496,"[[0.01363819 0.02653076 0.02825204 0.05874522 0.04481452 0.0604514
  0.04886963 0.06093703 0.05233743 0.06125975 0.04148922 0.06126616
  0.04623201 0.06136326 0.04895002 0.06144428 0.05071325 0.06151182
  0.04967057 0.06152342]]",0.17011417,human
68,3.3562477,5.355499,[0.16412324 0.83587676],1.1313623,human
69,1.9638435,2.6695814,[0.14294739 0.8570527 ],0.34243244,human
70,3.1762054,1.1721156,"[[0.03322841 0.03146954 0.05239565 0.04156797 0.05547463 0.04387851
  0.05570978 0.04726478 0.05657472 0.04786304 0.05664391 0.04841475
  0.0569142  0.0488161  0.05704801 0.05052018 0.05710157 0.04968934
  0.05711396 0.05231095]]",0.13392833,human
71,1.4123925,2.026269,[0.25653073 0.74346924],0.44712573,human
72,1.9859145,2.6992047,[0.34736258 0.65263736],0.896696,human
73,3.1736178,4.888126,[0.36464775 0.6353523 ],1.511655,human
74,0.77574223,1.4738398,[0.31640494 0.68359506],0.24643996,human
75,2.605419,3.6792521,[0.23374496 0.766255  ],0.9865891,human
76,3.6686058,6.2607684,[0.2852143 0.7147857],1.6369703,human
77,3.8080444,6.71284,[0.2460424  0.75395757],1.6196322,human
78,3.1009011,1.1677105,"[[0.04413715 0.03008635 0.0552422  0.04061827 0.05628236 0.04481681
  0.05667378 0.04528422 0.05684227 0.04689971 0.05680806 0.04515931
  0.05697427 0.04691273 0.05701534 0.04805361 0.05719572 0.04834193
  0.05715381 0.04950215]]",0.13258344,human
79,3.6275108,6.133437,[0.5577722  0.44222784],1.8003451,human
80,1.6736016,2.3089683,[0.2388362 0.7611638],0.5340935,human
81,2.6643667,3.7893078,[0.29277578 0.7072242 ],1.1494238,human
82,2.7238743,3.903748,[0.4265668 0.5734331],1.3402102,human
